Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,LeBron James,15,1143,44298,31038,8415,8208,.504,.344,.739,38.8,27.2,7.4,7.2,219.4,.238,9.2,124.9
2,2,DET,Darko Milicic,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040,-1.6,0.8
3,3,DEN,Carmelo Anthony,Syracuse University,15,1054,37835,25417,6884,3160,.449,.347,.812,35.9,24.1,6.5,3.0,100.7,.128,1.0,28.3
4,4,TOR,Chris Bosh,Georgia Institute of Technology,13,893,31936,17189,7592,1795,.494,.335,.799,35.8,19.2,8.5,2.0,106.0,.159,1.4,27.5
5,5,MIA,Dwyane Wade,Marquette University,15,982,33888,22082,4648,5400,.483,.287,.767,34.5,22.5,4.7,5.5,118.3,.168,4.8,57.7
6,6,LAC,Chris Kaman,Central Michigan University,13,735,19642,8208,5582,921,.489,.042,.743,26.7,11.2,7.6,1.3,24.6,.060,-2.0,0.0
7,7,CHI,Kirk Hinrich,University of Kansas,13,879,27015,9594,2576,4245,.411,.375,.800,30.7,10.9,2.9,4.8,52.5,.093,0.2,14.7
8,8,MIL,T.J. Ford,University of Texas at Austin,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068,-0.8,3.6
9,9,NYK,Mike Sweetney,Georgetown University,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103,-2.1,-0.1
10,10,WAS,Jarvis Hayes,University of Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049,-2.9,-2.2
